Google雲端發布2項Duet AI　強化生產力工具市場,https://www.technice.com.tw/issues/ai/86010/
中醫大附醫合作Google打造AI醫生　亞洲首例,https://www.technice.com.tw/issues/medical-equipment/86018/
Google壟斷「厚顏無恥」！Epic執行長談Google失敗、 蘋果勝利的原因,https://www.technice.com.tw/techmanage/smartcity/85729/
AI競賽開打！Google執行長：建立監管框架非常重要,https://www.technice.com.tw/issues/ai/85715/
Google Maps又有更新　定位紀錄、時間資訊不再上傳雲端,https://www.technice.com.tw/techmanage/3c/85652/
反壟斷敗訴！Google的 Android 戰略似乎正在瓦解,https://www.technice.com.tw/techmanage/3c/85546/
多項數據超越GPT-4    Google Gemini比 OpenAI 的 GPT-4 更聰明！,https://www.technice.com.tw/issues/ai/85350/
Google公布2023年度熱搜關鍵字　冠軍打敗ChatGPT,https://www.technice.com.tw/techmanage/smartcity/85288/
Google Drive風險曝光　四大關鍵措施降低風險,https://www.technice.com.tw/techmanage/85107/
20231211─Google推Gemini模型 支援文字圖片和聲音｜【AI主播報新聞】 ,https://www.technice.com.tw/aianchor/85079/
